Metric,Value
True Negatives,104245.0
False Positives,1.0
False Negatives,280.0
True Positives,1581.0
AUC-ROC,0.9997376441949206
Precision (0),0.9973212150203301
Recall (0),0.9999904073057959
F1-Score (0),0.9986540276187784
Precision (1),0.9993678887484198
Recall (1),0.8495432563138098
F1-Score (1),0.9183851292477491
