Metric,Value
True Negatives,104245.0
False Positives,1.0
False Negatives,1.0
True Positives,1860.0
AUC-ROC,0.9999994175311955
Precision (0),0.9999904073057959
Recall (0),0.9999904073057959
F1-Score (0),0.9999904073057959
Precision (1),0.999462654486835
Recall (1),0.999462654486835
F1-Score (1),0.999462654486835
