False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
3.5491198182850654e-05,0.0,1.0
3.5491198182850654e-05,0.0011173184357541898,0.9999786160966244
5.323679727427598e-05,0.0011173184357541898,0.999975422316214
5.323679727427598e-05,0.0223463687150838,0.9992011681172728
5.323679727427598e-05,0.024581005586592177,0.9991862481442795
5.323679727427598e-05,0.02905027932960894,0.9991725187915514
5.323679727427598e-05,0.03128491620111732,0.9991439465435191
5.323679727427598e-05,0.04357541899441341,0.9989767716945909
5.323679727427598e-05,0.04581005586592179,0.9989401652631672
5.323679727427598e-05,0.054748603351955305,0.9988090335970793
5.323679727427598e-05,0.05698324022346369,0.9987531997491772
5.323679727427598e-05,0.0659217877094972,0.9985261958279052
5.323679727427598e-05,0.09050279329608939,0.9985058175675022
5.323679727427598e-05,0.09497206703910614,0.9983524625427164
5.323679727427598e-05,0.09720670391061452,0.9983466357235493
5.323679727427598e-05,0.10167597765363129,0.9983084052739659
7.098239636570131e-05,0.10167597765363129,0.9983082638270524
7.098239636570131e-05,0.10726256983240223,0.9981540888823244
7.098239636570131e-05,0.11396648044692738,0.9981526659371507
7.098239636570131e-05,0.11620111731843576,0.9981363420329297
7.098239636570131e-05,0.12290502793296089,0.9979759533296236
7.098239636570131e-05,0.12625698324022347,0.9979759346817932
7.098239636570131e-05,0.12737430167597766,0.9979068134628162
7.098239636570131e-05,0.12960893854748604,0.9978865448552633
7.098239636570131e-05,0.14078212290502792,0.9973936328377923
7.098239636570131e-05,0.1452513966480447,0.9973141145248632
7.098239636570131e-05,0.16089385474860335,0.9965204737612824
7.098239636570131e-05,0.16424581005586592,0.9965092959411583
7.098239636570131e-05,0.17988826815642459,0.9952467838599725
7.098239636570131e-05,0.18324022346368715,0.9952012773563172
7.098239636570131e-05,0.2223463687150838,0.9933659041133266
7.098239636570131e-05,0.2335195530726257,0.9933075017497215
7.098239636570131e-05,0.23687150837988827,0.9930289860611101
7.098239636570131e-05,0.2759776536312849,0.9929347589846753
7.098239636570131e-05,0.2849162011173184,0.9925236536593244
7.098239636570131e-05,0.3005586592178771,0.9924612285737928
7.098239636570131e-05,0.30726256983240224,0.992441802666983
8.872799545712663e-05,0.30726256983240224,0.9922744730650025
8.872799545712663e-05,0.3094972067039106,0.9922057947851695
8.872799545712663e-05,0.311731843575419,0.9921058738466579
0.00010647359454855196,0.311731843575419,0.9919199386280123
0.00010647359454855196,0.3128491620111732,0.9918528413345153
0.00010647359454855196,0.31508379888268156,0.991806304526772
0.00010647359454855196,0.3240223463687151,0.9912761523948227
0.00010647359454855196,0.32737430167597764,0.9911997737302056
0.00010647359454855196,0.329608938547486,0.9911365385763075
0.00010647359454855196,0.3307262569832402,0.9908484197541725
0.00010647359454855196,0.3329608938547486,0.9908016925659477
0.00010647359454855196,0.3463687150837989,0.9897140823445614
0.00010647359454855196,0.35195530726256985,0.9893587534397927
0.00012421919363997727,0.35195530726256985,0.9892612991586882
0.00012421919363997727,0.35307262569832404,0.9892468656477765
0.00012421919363997727,0.3553072625698324,0.9892236113053624
0.00012421919363997727,0.358659217877095,0.9889602331215855
