Metric,Value
True Negatives,103985.0
False Positives,261.0
False Negatives,839.0
True Positives,1404.0
AUC-ROC,0.9867801725451549
Precision (0),0.9919961077615813
Recall (0),0.9974963068127314
F1-Score (0),0.9947386042952121
Precision (1),0.8432432432432433
Recall (1),0.6259473918858671
F1-Score (1),0.7185261003070624
