Metric,Value
True Negatives,104207.0
False Positives,39.0
False Negatives,391.0
True Positives,1470.0
AUC-ROC,0.9611480034366279
Precision (0),0.9962618788122144
Recall (0),0.9996258849260403
F1-Score (0),0.9979410469058244
Precision (1),0.974155069582505
Recall (1),0.7898979043524986
F1-Score (1),0.8724035608308606
