Metric,Value
True Negatives,104204.0
False Positives,42.0
False Negatives,282.0
True Positives,1579.0
AUC-ROC,0.9938329233904143
Precision (0),0.9973010738280726
Recall (0),0.9995971068434281
F1-Score (0),0.9984477703466647
Precision (1),0.974090067859346
Recall (1),0.8484685652874798
F1-Score (1),0.9069500287191269
